# x y rho rho*u rho*v rho*E
           1            0      1.37866     0.734236 -5.56678e-05       6.1848
    0.418062   -0.0594502      1.33589     0.922638     0.038229      5.86091
    0.402358   -0.0600954      1.33667     0.923821    0.0339007      5.86681
    0.386828   -0.0606505      1.33734      0.92486     0.029362      5.87218
    0.371513    -0.061121      1.33788     0.925767     0.024612      5.87699
     0.35642    -0.061507       1.3383     0.926564      0.01965      5.88121
    0.341587   -0.0618069      1.33857     0.927288    0.0144745      5.88474
    0.327015   -0.0620204      1.33869     0.927984   0.00908031       5.8876
    0.312746   -0.0621465      1.33872     0.928689   0.00346733      5.89008
    0.298766   -0.0621854      1.33874     0.929403  -0.00235664      5.89282
    0.285128    -0.062132       1.3389     0.930085  -0.00838344      5.89671
    0.271803   -0.0619935      1.33935     0.930657   -0.0146041      5.90268
    0.258838   -0.0617719      1.34021     0.931023   -0.0210121      5.91158
    0.246225   -0.0614689      1.34158     0.931098   -0.0275987      5.92403
    0.233963   -0.0610864      1.34352     0.930813   -0.0343614       5.9404
    0.222095   -0.0606285      1.34603     0.930129   -0.0412989      5.96087
    0.210581   -0.0600963      1.34911     0.929025   -0.0484096      5.98538
     0.19944    -0.059494      1.35272     0.927493   -0.0557059       6.0137
      0.1887    -0.058838      1.35678     0.925539   -0.0631897      6.04549
    0.178325   -0.0581179      1.36125     0.923164   -0.0708594      6.08043
    0.168316   -0.0573375      1.36609     0.920364    -0.078726      6.11831
    0.158689   -0.0565017      1.37131     0.917117   -0.0867834      6.15923
    0.149451   -0.0556156      1.37696     0.913379   -0.0949989      6.20354
    0.140571   -0.0546803      1.38308     0.909097    -0.103353      6.25133
    0.132041   -0.0536991       1.3896     0.904235     -0.11185      6.30227
    0.123867   -0.0526767       1.3965     0.898772    -0.120501      6.35608
    0.116044   -0.0516171      1.40376     0.892697    -0.129303      6.41274
    0.108569   -0.0505242      1.41146     0.885984    -0.138216      6.47273
    0.101432   -0.0494011      1.41969     0.878605    -0.147141      6.53656
   0.0946332   -0.0481823      1.42837     0.870506    -0.156088      6.60389
   0.0881527   -0.0469146      1.43738     0.861669    -0.165154      6.67402
   0.0819778   -0.0456255      1.44669     0.852134    -0.174345      6.74684
