x y rho u v p
0.081978 -0.045626 1.437121 0.843467 -0.032562 6.500226
0.076103 -0.044318 1.440921 0.842252 -0.036158 6.527306
0.070518 -0.042996 1.445060 0.840836 -0.040089 6.557042
0.065215 -0.041660 1.449571 0.839187 -0.044386 6.589734
0.060184 -0.040312 1.454494 0.837265 -0.049081 6.625724
0.055416 -0.038955 1.459871 0.835026 -0.054210 6.665400
0.050900 -0.037590 1.465752 0.832416 -0.059811 6.709206
0.046627 -0.036217 1.472191 0.829373 -0.065923 6.757652
0.042587 -0.034838 1.479252 0.825819 -0.072590 6.811331
0.038770 -0.033453 1.487000 0.821669 -0.079850 6.870881
0.035176 -0.032066 1.495499 0.816825 -0.087731 6.936951
0.031797 -0.030678 1.504819 0.811176 -0.096258 7.010268
0.028625 -0.029289 1.515038 0.804588 -0.105450 7.091684
0.025651 -0.027900 1.526252 0.796904 -0.115321 7.182199
0.022865 -0.026510 1.538571 0.787926 -0.125880 7.283035
0.020255 -0.025115 1.552138 0.777408 -0.137128 7.395741
0.017811 -0.023714 1.567092 0.765068 -0.149021 7.521944
0.015538 -0.022310 1.583494 0.750673 -0.161400 7.662651
0.013442 -0.020912 1.601355 0.734009 -0.174022 7.818531
0.011512 -0.019517 1.620746 0.714780 -0.186624 7.990847
0.009736 -0.018122 1.641806 0.692575 -0.198891 8.181626
0.008103 -0.016718 1.664651 0.666964 -0.210345 8.392798
0.006615 -0.015308 1.689008 0.637919 -0.220172 8.622819
0.005289 -0.013913 1.714412 0.604642 -0.227678 8.870861
0.004102 -0.012517 1.749265 0.558144 -0.231670 9.214240
0.002161 -0.009762 1.798278 0.489396 -0.223977 9.708013
0.000771 -0.007088 1.850663 0.411165 -0.194450 10.249090
-0.000124 -0.004525 1.895313 0.344665 -0.141827 10.710521
-0.000582 -0.002152 1.926640 0.301103 -0.073630 11.025630
-0.000700 -0.000000 1.938630 0.285988 -0.000014 11.141706
-0.000582 0.002153 1.926671 0.301066 0.073570 11.025939
-0.000124 0.004527 1.895313 0.344624 0.141743 10.710624
0.000767 0.007080 1.850666 0.411183 0.194451 10.249058
0.002167 0.009773 1.798296 0.489391 0.224002 9.708143
0.004096 0.012511 1.749249 0.558154 0.231646 9.214132
0.005296 0.013923 1.714238 0.604914 0.227637 8.869029
0.006631 0.015324 1.688771 0.638252 0.220115 8.620416
0.008100 0.016715 1.664674 0.666960 0.210363 8.392948
0.009724 0.018113 1.641965 0.692389 0.198967 8.183124
0.011512 0.019519 1.620747 0.714766 0.186622 7.990901
0.013459 0.020925 1.601177 0.734191 0.173903 7.816934
0.015562 0.022326 1.583306 0.750865 0.161262 7.660958
0.017819 0.023718 1.567046 0.765119 0.148983 7.521512
0.020244 0.025109 1.552207 0.777349 0.137184 7.396334
0.022856 0.026506 1.538629 0.787877 0.125929 7.283534
0.025656 0.027903 1.526237 0.796913 0.115309 7.182085
0.028645 0.029299 1.514965 0.804641 0.105383 7.091084
0.031827 0.030691 1.504723 0.811241 0.096169 7.009497
0.035208 0.032079 1.495417 0.816878 0.087653 6.936290
0.038794 0.033462 1.486952 0.821698 0.079803 6.870500
0.042594 0.034840 1.479241 0.825826 0.072578 6.811240
0.046624 0.036216 1.472201 0.829368 0.065932 6.757726
0.050893 0.037587 1.465768 0.832409 0.059825 6.709323
0.055408 0.038953 1.459886 0.835020 0.054223 6.665505
0.060178 0.040310 1.454505 0.837261 0.049091 6.625804
0.065210 0.041658 1.449579 0.839184 0.044393 6.589790
0.070514 0.042995 1.445065 0.840835 0.040094 6.557079
0.076100 0.044318 1.440925 0.842252 0.036161 6.527332
0.081976 0.045625 1.437124 0.843467 0.032564 6.500241
0.088153 0.046915 1.433631 0.844508 0.029275 6.475545
0.094642 0.048184 1.430493 0.845390 0.026329 6.453496
0.101458 0.049405 1.427906 0.846108 0.023881 6.435339
0.108610 0.050530 1.425872 0.846681 0.021925 6.421027
0.116089 0.051623 1.424074 0.847166 0.020197 6.408430
0.123903 0.052681 1.422325 0.847597 0.018543 6.396292
0.132063 0.053701 1.420617 0.847979 0.016955 6.384547
0.140580 0.054681 1.418948 0.848315 0.015428 6.373172
0.149470 0.055617 1.417318 0.848611 0.013963 6.362158
0.158736 0.056506 1.415727 0.848869 0.012557 6.351495
0.168356 0.057340 1.414176 0.849093 0.011208 6.341175
0.178344 0.058119 1.412665 0.849285 0.009917 6.331195
0.188722 0.058839 1.411195 0.849449 0.008682 6.321548
